sigma,theta,kai,inv_zeta,mu,phi_o_y,gamma_w,ksi_w,gamma_p,ksi_p,phi_r,phi_pi,phi_y,z_star_bar,psi_bar,eta,n_k,mu_E,r_E_bar,rho_b,rho_g,rho_w,rho_p,rho_r,rho_nu,rho_z,rho_psi,rho_i,rho_efp,rho_nw,sigma_b,sigma_g,sigma_w,sigma_p,sigma_r,sigma_nu,sigma_z,sigma_psi,sigma_i,sigma_efp,sigma_nw
1.193280,0.332679,3.535626,0.557018,1.167740,0.331025,0.315965,0.396804,0.725204,0.480858,0.501651,1.919001,0.083471,0.344168,0.420978,0.000000,0.000000,0.000000,0.000000,0.896437,0.879417,0.225615,0.974562,0.358190,0.901407,0.046199,0.122893,0.911534,0.000000,0.000000,1.672804,1.028396,0.758284,0.566191,0.460249,0.504462,1.394775,0.540839,1.443040,0.000000,0.000000
1.193280,0.332679,3.535626,0.557018,1.167740,0.331025,0.315965,0.396804,0.725204,0.480858,0.501651,1.919001,0.083471,0.344168,0.420978,0.000000,0.000000,0.000000,0.000000,0.896437,0.879417,0.225615,0.974562,0.358190,0.901407,0.046199,0.122893,0.911534,0.000000,0.000000,1.672804,1.028396,0.758284,0.566191,0.460249,0.504462,1.394775,0.540839,1.443040,0.000000,0.000000
1.193280,0.332679,3.535626,0.557018,1.167740,0.331025,0.315965,0.396804,0.725204,0.480858,0.501651,1.919001,0.083471,0.344168,0.420978,0.000000,0.000000,0.000000,0.000000,0.896437,0.879417,0.225615,0.974562,0.358190,0.901407,0.046199,0.122893,0.911534,0.000000,0.000000,1.672804,1.028396,0.758284,0.566191,0.460249,0.504462,1.394775,0.540839,1.443040,0.000000,0.000000
1.173213,0.326110,3.540923,0.555584,1.166844,0.325740,0.317176,0.401048,0.712385,0.474400,0.504287,1.906057,0.082406,0.343198,0.426189,0.000000,0.000000,0.000000,0.000000,0.892033,0.894073,0.224255,0.966576,0.363867,0.900734,0.046811,0.121394,0.906918,0.000000,0.000000,1.631190,1.027270,0.762044,0.569318,0.462123,0.506325,1.393417,0.548516,1.452408,0.000000,0.000000
1.173213,0.326110,3.540923,0.555584,1.166844,0.325740,0.317176,0.401048,0.712385,0.474400,0.504287,1.906057,0.082406,0.343198,0.426189,0.000000,0.000000,0.000000,0.000000,0.892033,0.894073,0.224255,0.966576,0.363867,0.900734,0.046811,0.121394,0.906918,0.000000,0.000000,1.631190,1.027270,0.762044,0.569318,0.462123,0.506325,1.393417,0.548516,1.452408,0.000000,0.000000
1.173213,0.326110,3.540923,0.555584,1.166844,0.325740,0.317176,0.401048,0.712385,0.474400,0.504287,1.906057,0.082406,0.343198,0.426189,0.000000,0.000000,0.000000,0.000000,0.892033,0.894073,0.224255,0.966576,0.363867,0.900734,0.046811,0.121394,0.906918,0.000000,0.000000,1.631190,1.027270,0.762044,0.569318,0.462123,0.506325,1.393417,0.548516,1.452408,0.000000,0.000000
1.195517,0.325605,3.532721,0.546872,1.163025,0.325428,0.322628,0.393253,0.701779,0.471817,0.499357,1.892152,0.082124,0.343642,0.427887,0.000000,0.000000,0.000000,0.000000,0.895782,0.898886,0.225154,0.953273,0.361887,0.885261,0.046401,0.123232,0.902932,0.000000,0.000000,1.647532,1.037697,0.757142,0.568780,0.456046,0.500958,1.411782,0.546408,1.447991,0.000000,0.000000
1.218493,0.323649,3.459952,0.550296,1.169513,0.324982,0.322332,0.394494,0.699469,0.468736,0.512600,1.899069,0.081908,0.347093,0.431274,0.000000,0.000000,0.000000,0.000000,0.894466,0.898712,0.228374,0.950503,0.363702,0.873363,0.046223,0.122971,0.904011,0.000000,0.000000,1.659843,1.021687,0.758908,0.561671,0.459972,0.508761,1.405391,0.543179,1.433396,0.000000,0.000000
1.211062,0.324645,3.508440,0.552672,1.164701,0.324493,0.317393,0.388523,0.697282,0.475163,0.518214,1.916803,0.081081,0.341031,0.429367,0.000000,0.000000,0.000000,0.000000,0.888577,0.894374,0.228787,0.969729,0.366891,0.865364,0.046700,0.123856,0.919226,0.000000,0.000000,1.683296,1.031697,0.763193,0.552534,0.457998,0.513003,1.424595,0.538979,1.424959,0.000000,0.000000
1.207825,0.320794,3.502360,0.549021,1.189874,0.323419,0.318525,0.389070,0.693243,0.471999,0.527216,1.924495,0.081960,0.339881,0.432314,0.000000,0.000000,0.000000,0.000000,0.890320,0.892053,0.223653,0.975005,0.367743,0.877038,0.046704,0.125353,0.914044,0.000000,0.000000,1.695399,1.034266,0.758208,0.551463,0.455897,0.512992,1.421360,0.539819,1.421793,0.000000,0.000000
