sigma,theta,kai,inv_zeta,mu,phi_o_y,gamma_w,ksi_w,gamma_p,ksi_p,phi_r,phi_pi,phi_y,z_star_bar,psi_bar,eta,n_k,mu_E,r_E_bar,rho_b,rho_g,rho_w,rho_p,rho_r,rho_nu,rho_z,rho_psi,rho_i,rho_efp,rho_nw,sigma_b,sigma_g,sigma_w,sigma_p,sigma_r,sigma_nu,sigma_z,sigma_psi,sigma_i,sigma_efp,sigma_nw
0.784269,0.404436,2.045237,0.430682,1.946763,0.987955,0.492912,0.450032,0.823091,0.378755,0.452050,1.850164,0.088002,0.287904,0.417323,0.973804,0.591091,0.030934,1.189796,0.711327,0.916099,0.105209,0.487742,0.390116,0.821190,0.167755,0.137241,0.978458,0.907517,0.691572,1.169988,0.964091,0.636480,0.587759,0.643174,0.528271,0.717405,0.500749,2.079086,0.364872,1.009216
0.784269,0.404436,2.045237,0.430682,1.946763,0.987955,0.492912,0.450032,0.823091,0.378755,0.452050,1.850164,0.088002,0.287904,0.417323,0.973804,0.591091,0.030934,1.189796,0.711327,0.916099,0.105209,0.487742,0.390116,0.821190,0.167755,0.137241,0.978458,0.907517,0.691572,1.169988,0.964091,0.636480,0.587759,0.643174,0.528271,0.717405,0.500749,2.079086,0.364872,1.009216
0.784269,0.404436,2.045237,0.430682,1.946763,0.987955,0.492912,0.450032,0.823091,0.378755,0.452050,1.850164,0.088002,0.287904,0.417323,0.973804,0.591091,0.030934,1.189796,0.711327,0.916099,0.105209,0.487742,0.390116,0.821190,0.167755,0.137241,0.978458,0.907517,0.691572,1.169988,0.964091,0.636480,0.587759,0.643174,0.528271,0.717405,0.500749,2.079086,0.364872,1.009216
0.784269,0.404436,2.045237,0.430682,1.946763,0.987955,0.492912,0.450032,0.823091,0.378755,0.452050,1.850164,0.088002,0.287904,0.417323,0.973804,0.591091,0.030934,1.189796,0.711327,0.916099,0.105209,0.487742,0.390116,0.821190,0.167755,0.137241,0.978458,0.907517,0.691572,1.169988,0.964091,0.636480,0.587759,0.643174,0.528271,0.717405,0.500749,2.079086,0.364872,1.009216
0.784269,0.404436,2.045237,0.430682,1.946763,0.987955,0.492912,0.450032,0.823091,0.378755,0.452050,1.850164,0.088002,0.287904,0.417323,0.973804,0.591091,0.030934,1.189796,0.711327,0.916099,0.105209,0.487742,0.390116,0.821190,0.167755,0.137241,0.978458,0.907517,0.691572,1.169988,0.964091,0.636480,0.587759,0.643174,0.528271,0.717405,0.500749,2.079086,0.364872,1.009216
0.784269,0.404436,2.045237,0.430682,1.946763,0.987955,0.492912,0.450032,0.823091,0.378755,0.452050,1.850164,0.088002,0.287904,0.417323,0.973804,0.591091,0.030934,1.189796,0.711327,0.916099,0.105209,0.487742,0.390116,0.821190,0.167755,0.137241,0.978458,0.907517,0.691572,1.169988,0.964091,0.636480,0.587759,0.643174,0.528271,0.717405,0.500749,2.079086,0.364872,1.009216
0.785717,0.405837,2.036065,0.427816,1.950039,0.984008,0.492858,0.451857,0.825598,0.376748,0.450911,1.855847,0.088157,0.287457,0.417895,0.975991,0.594998,0.030920,1.192905,0.710726,0.921065,0.105286,0.487721,0.391139,0.820856,0.167781,0.137566,0.977288,0.911020,0.688867,1.171168,0.962995,0.638659,0.589444,0.642233,0.525520,0.713909,0.503565,2.086573,0.365473,1.010350
0.785717,0.405837,2.036065,0.427816,1.950039,0.984008,0.492858,0.451857,0.825598,0.376748,0.450911,1.855847,0.088157,0.287457,0.417895,0.975991,0.594998,0.030920,1.192905,0.710726,0.921065,0.105286,0.487721,0.391139,0.820856,0.167781,0.137566,0.977288,0.911020,0.688867,1.171168,0.962995,0.638659,0.589444,0.642233,0.525520,0.713909,0.503565,2.086573,0.365473,1.010350
0.783908,0.405738,2.035916,0.425143,1.950777,0.979630,0.494682,0.450276,0.820848,0.375750,0.451160,1.865215,0.088336,0.288033,0.415380,0.971918,0.591002,0.030999,1.190836,0.712429,0.916575,0.105430,0.488020,0.393357,0.820278,0.168178,0.137583,0.978077,0.912743,0.685774,1.173287,0.965972,0.633991,0.589797,0.647062,0.527339,0.713556,0.506541,2.086586,0.363384,1.008829
0.783908,0.405738,2.035916,0.425143,1.950777,0.979630,0.494682,0.450276,0.820848,0.375750,0.451160,1.865215,0.088336,0.288033,0.415380,0.971918,0.591002,0.030999,1.190836,0.712429,0.916575,0.105430,0.488020,0.393357,0.820278,0.168178,0.137583,0.978077,0.912743,0.685774,1.173287,0.965972,0.633991,0.589797,0.647062,0.527339,0.713556,0.506541,2.086586,0.363384,1.008829
0.783908,0.405738,2.035916,0.425143,1.950777,0.979630,0.494682,0.450276,0.820848,0.375750,0.451160,1.865215,0.088336,0.288033,0.415380,0.971918,0.591002,0.030999,1.190836,0.712429,0.916575,0.105430,0.488020,0.393357,0.820278,0.168178,0.137583,0.978077,0.912743,0.685774,1.173287,0.965972,0.633991,0.589797,0.647062,0.527339,0.713556,0.506541,2.086586,0.363384,1.008829
0.783908,0.405738,2.035916,0.425143,1.950777,0.979630,0.494682,0.450276,0.820848,0.375750,0.451160,1.865215,0.088336,0.288033,0.415380,0.971918,0.591002,0.030999,1.190836,0.712429,0.916575,0.105430,0.488020,0.393357,0.820278,0.168178,0.137583,0.978077,0.912743,0.685774,1.173287,0.965972,0.633991,0.589797,0.647062,0.527339,0.713556,0.506541,2.086586,0.363384,1.008829
0.783908,0.405738,2.035916,0.425143,1.950777,0.979630,0.494682,0.450276,0.820848,0.375750,0.451160,1.865215,0.088336,0.288033,0.415380,0.971918,0.591002,0.030999,1.190836,0.712429,0.916575,0.105430,0.488020,0.393357,0.820278,0.168178,0.137583,0.978077,0.912743,0.685774,1.173287,0.965972,0.633991,0.589797,0.647062,0.527339,0.713556,0.506541,2.086586,0.363384,1.008829
0.783908,0.405738,2.035916,0.425143,1.950777,0.979630,0.494682,0.450276,0.820848,0.375750,0.451160,1.865215,0.088336,0.288033,0.415380,0.971918,0.591002,0.030999,1.190836,0.712429,0.916575,0.105430,0.488020,0.393357,0.820278,0.168178,0.137583,0.978077,0.912743,0.685774,1.173287,0.965972,0.633991,0.589797,0.647062,0.527339,0.713556,0.506541,2.086586,0.363384,1.008829
0.783908,0.405738,2.035916,0.425143,1.950777,0.979630,0.494682,0.450276,0.820848,0.375750,0.451160,1.865215,0.088336,0.288033,0.415380,0.971918,0.591002,0.030999,1.190836,0.712429,0.916575,0.105430,0.488020,0.393357,0.820278,0.168178,0.137583,0.978077,0.912743,0.685774,1.173287,0.965972,0.633991,0.589797,0.647062,0.527339,0.713556,0.506541,2.086586,0.363384,1.008829
0.783908,0.405738,2.035916,0.425143,1.950777,0.979630,0.494682,0.450276,0.820848,0.375750,0.451160,1.865215,0.088336,0.288033,0.415380,0.971918,0.591002,0.030999,1.190836,0.712429,0.916575,0.105430,0.488020,0.393357,0.820278,0.168178,0.137583,0.978077,0.912743,0.685774,1.173287,0.965972,0.633991,0.589797,0.647062,0.527339,0.713556,0.506541,2.086586,0.363384,1.008829
0.783908,0.405738,2.035916,0.425143,1.950777,0.979630,0.494682,0.450276,0.820848,0.375750,0.451160,1.865215,0.088336,0.288033,0.415380,0.971918,0.591002,0.030999,1.190836,0.712429,0.916575,0.105430,0.488020,0.393357,0.820278,0.168178,0.137583,0.978077,0.912743,0.685774,1.173287,0.965972,0.633991,0.589797,0.647062,0.527339,0.713556,0.506541,2.086586,0.363384,1.008829
0.783908,0.405738,2.035916,0.425143,1.950777,0.979630,0.494682,0.450276,0.820848,0.375750,0.451160,1.865215,0.088336,0.288033,0.415380,0.971918,0.591002,0.030999,1.190836,0.712429,0.916575,0.105430,0.488020,0.393357,0.820278,0.168178,0.137583,0.978077,0.912743,0.685774,1.173287,0.965972,0.633991,0.589797,0.647062,0.527339,0.713556,0.506541,2.086586,0.363384,1.008829
0.786236,0.404837,2.039051,0.425673,1.950035,0.976216,0.492155,0.452738,0.819284,0.374408,0.450765,1.860157,0.088292,0.287158,0.415117,0.973320,0.594662,0.031141,1.185810,0.714728,0.920954,0.104599,0.490550,0.391555,0.822554,0.168155,0.137647,0.977493,0.910704,0.687158,1.165756,0.967967,0.638607,0.588143,0.645830,0.530407,0.712233,0.507352,2.076633,0.363947,1.008134
